
c857b47b-80af-4346-83d1-81f5fa2511ab,2023-05-23T17:51:10.431275,aasd,Operators_and_Decision_Constructs,fsadf,asd,Answers{correctAnswers: 3answers=[Answer{answerText='asadf', correctAnswer=true, answerDescription=''}, Answer{answerText='', correctAnswer=true, answerDescription=''}, Answer{answerText='asdf', correctAnswer=true, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='asdf', correctAnswer=false, answerDescription=''}, Answer{answerText='as', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}
93da8222-9db3-4a1e-8faa-ca646415e54b,2023-05-23T17:58:46.890816,asdfsdf,Java_Data_Types,sdasdf,asdasdf,Answers{correctAnswers: 3answers=[Answer{answerText='asdf', correctAnswer=true, answerDescription=''}, Answer{answerText='', correctAnswer=true, answerDescription=''}, Answer{answerText='as', correctAnswer=true, answerDescription=''}, Answer{answerText='dfs', correctAnswer=false, answerDescription=''}, Answer{answerText='dfas', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}
a026bc1f-ae1d-4b48-be22-04dfb96ac49e,2023-05-25T13:58:54.925604,,No_Topic,,,Answers{correctAnswers: 0answers=[Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}

c8cecc74-245d-40a0-8dc5-e6f43dcd6a2a,2023-05-24T21:40:41.447099,Frage 1,Java_Basics,,,Answers{correctAnswers: 0answers=[Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}
04dda069-cb56-4991-9456-5a9e8f6efc5e,2023-05-24T21:40:51.230348,Frage 2,No_Topic,,,Answers{correctAnswers: 0answers=[Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}
1c508147-073c-4b63-8684-48a77b64fe78,2023-05-24T21:40:58.630715,Frage 3,No_Topic,,,Answers{correctAnswers: 0answers=[Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}
72adc5f0-f9fd-45ff-ab90-2e420e9accfe,2023-05-24T21:41:05.41315,Frage 4,No_Topic,,,Answers{correctAnswers: 0answers=[Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}
2fe5f636-0c91-4c3e-a756-69694905f09f,2023-05-24T21:41:11.162882,Frage 5,No_Topic,,,Answers{correctAnswers: 0answers=[Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}
8d9e1246-0f62-4a72-8db8-303237b5d271,2023-05-24T21:41:17.446886,Frage 6,No_Topic,,,Answers{correctAnswers: 0answers=[Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}, Answer{answerText='', correctAnswer=false, answerDescription=''}]}

